"available","availableText","brand","categories/0","categories/1","ean","endedDate","image","images/0","images/1","images/2","images/3","images/4","images/5","images/6","images/7","images/8","images/9","images/10","images/11","images/12","images/13","images/14","images/15","images/16","images/17","images/18","images/19","images/20","images/21","images/22","images/23","images/24","images/25","images/26","images/27","images/28","images/29","images/30","images/31","images/32","images/33","images/34","images/35","images/36","images/37","images/38","images/39","images/40","images/41","images/42","images/43","images/44","images/45","images/46","images/47","images/48","images/49","images/50","images/51","images/52","images/53","images/54","images/55","images/56","images/57","images/58","images/59","images/60","images/61","images/62","images/63","images/64","images/65","images/66","images/67","images/68","images/69","images/70","images/71","images/72","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1"
,,"Acer / Dell / Fujitsu / HP / Lenovo / Toshiba","PC Laptops & Netbooks",,,,"https://i.ebayimg.com/images/g/ZGoAAOSw4Blijfku/s-l500.jpg","https://i.ebayimg.com/images/g/ZGoAAOSw4Blijfku/s-l1000.jpg","https://i.ebayimg.com/images/g/EfAAAOSwFOFijfkv/s-l1000.jpg","https://i.ebayimg.com/images/g/5oYAAOSwJwBijfkx/s-l1000.jpg","https://i.ebayimg.com/images/g/yo8AAOSwv-dijfky/s-l1000.jpg","https://i.ebayimg.com/images/g/KvwAAOSwRblijfkz/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altrincham, United Kingdom","185755950274",,"94.99","£94.99 each","green-it-disposal",,"🏡🏢Perfect for Home & Office 📶Wi-Fi 🧠1 YEAR WARRANTY","FAST CHEAP INTEL CORE i3/i5 WINDOWS 10 8GB RAM 240GB SSD/500GB HDD WI-FI LAPTOP","Notebook/Laptop",,"https://www.ebay.co.uk/itm/185755950274",,,,
,,"Microsoft","Tablets & eBook Readers","PC Laptops & Netbooks",,,"https://i.ebayimg.com/images/g/QvkAAOSwxyJj48qV/s-l500.jpg","https://i.ebayimg.com/images/g/QvkAAOSwxyJj48qV/s-l1000.jpg","https://i.ebayimg.com/images/g/bCcAAOSwjJNj48qX/s-l1000.jpg","https://i.ebayimg.com/images/g/YxoAAOSwdVhj48qZ/s-l1000.jpg","https://i.ebayimg.com/images/g/jQsAAOSwwthj48qb/s-l1000.jpg","https://i.ebayimg.com/images/g/oMkAAOSwc0lj48q5/s-l1000.jpg","https://i.ebayimg.com/images/g/-CUAAOSwjN5j48q-/s-l1000.png","https://i.ebayimg.com/images/g/bMUAAOSwcs9j48rB/s-l1000.jpg","https://i.ebayimg.com/images/g/vuwAAOSw~nlj48rE/s-l1000.jpg","https://i.ebayimg.com/images/g/MWMAAOSwjqpj48rG/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MILTON KEYNES, United Kingdom","175315813867","SU3-00001, 1724","294.76","£294.76 each","mobstars",,"🔥 INCLUDES US KEYBOARD - PEN NOT INCLUDED","Microsoft Surface Pro 4 i5-6300U 8GB RAM 256GB Win10Pro (GRADE A+)","Tablet/Laptop Convertible",,"https://www.ebay.co.uk/itm/175315813867",,,,
,,"Dell","PC Laptops & Netbooks",,,,"https://i.ebayimg.com/images/g/OBYAAOSwamxh1c4A/s-l500.jpg","https://i.ebayimg.com/images/g/OBYAAOSwamxh1c4A/s-l1000.jpg","https://i.ebayimg.com/images/g/4VUAAOSwnBJh1c4U/s-l1000.jpg","https://i.ebayimg.com/images/g/OdsAAOSw4Phh1c4V/s-l1000.jpg","https://i.ebayimg.com/images/g/4tEAAOSwnBJh1c8X/s-l1000.jpg","https://i.ebayimg.com/images/g/hesAAOSwm6Jh1c4o/s-l1000.jpg","https://i.ebayimg.com/images/g/hHsAAOSwJalh1c4q/s-l1000.jpg","https://i.ebayimg.com/images/g/azUAAOSwjoxh1c8d/s-l1000.jpg","https://i.ebayimg.com/images/g/7iQAAOSwNgxh1c44/s-l1000.jpg","https://i.ebayimg.com/images/g/zpMAAOSw0pth1c46/s-l1000.jpg","https://i.ebayimg.com/images/g/h5sAAOSwm6Jh1c8p/s-l1000.jpg","https://i.ebayimg.com/images/g/JV4AAOSwi9hh1c5L/s-l1000.jpg","https://i.ebayimg.com/images/g/ZDYAAOSwER1h1c5G/s-l1000.jpg","https://i.ebayimg.com/images/g/eSkAAOSwmOVh1c85/s-l1000.jpg","https://i.ebayimg.com/images/g/DsUAAOSwUj5h1c5W/s-l1000.jpg","https://i.ebayimg.com/images/g/hMoAAOSwJalh1c5Y/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Portsmouth, United Kingdom","373852446955",,"119.99","£119.99","newandusedlaptops4u",,"1 Year Warranty / VAT Invoice Included / 30 Day Returns","Cheap Fast Dell Latitude Windows 11 Laptop i3 4th - 6th Gen 16GB 256GB Blue Pink","Notebook/Laptop",,"https://www.ebay.co.uk/itm/373852446955",,,,
,,"Dell","PC Laptops & Netbooks",,,,"https://i.ebayimg.com/images/g/u~UAAOSwE3ljwDI~/s-l500.jpg","https://i.ebayimg.com/images/g/u~UAAOSwE3ljwDI~/s-l1000.jpg","https://i.ebayimg.com/images/g/wjsAAOSwjrxjwDJA/s-l1000.jpg","https://i.ebayimg.com/images/g/Ae0AAOSwoMRjwDJC/s-l1000.jpg","https://i.ebayimg.com/images/g/cMoAAOSwZu5jwDJD/s-l1000.jpg","https://i.ebayimg.com/images/g/YuEAAOSw7wdjwDJF/s-l1000.jpg","https://i.ebayimg.com/images/g/sdcAAOSwrbNjwDJH/s-l1000.jpg","https://i.ebayimg.com/images/g/~3UAAOSwqDtjwDJI/s-l1000.jpg","https://i.ebayimg.com/images/g/JVMAAOSwj~NjyAf8/s-l1000.jpg","https://i.ebayimg.com/images/g/IOYAAOSwgFFjyAgt/s-l1000.jpg","https://i.ebayimg.com/images/g/1P0AAOSwt2tjyAgv/s-l1000.jpg","https://i.ebayimg.com/images/g/QPYAAOSws3BjyAgx/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dumfries, United Kingdom","115684244697","7480_MDT","180","£180.00","mydigitaltech",,"Windows 10 Pro ✅Fast Dispatch ✅12 Month Warranty ✅","Laptop Dell Latitude 7480 14in 6th 7th Gen i5 i7 8GB RAM 256GB SSD FHD, VG","Notebook/Laptop",,"https://www.ebay.co.uk/itm/115684244697",,,,
,,"Lenovo","PC Laptops & Netbooks",,,,"https://i.ebayimg.com/images/g/HZUAAOSw8BRijjL6/s-l500.jpg","https://i.ebayimg.com/images/g/HZUAAOSw8BRijjL6/s-l1000.jpg","https://i.ebayimg.com/images/g/cksAAOSw0lRig6z5/s-l1000.jpg","https://i.ebayimg.com/images/g/k0kAAOSw12Rig6z6/s-l1000.jpg","https://i.ebayimg.com/images/g/cOgAAOSwr7Jig6z2/s-l1000.jpg","https://i.ebayimg.com/images/g/z7MAAOSw6-ZijjL5/s-l1000.jpg","https://i.ebayimg.com/images/g/pF8AAOSw49Jig6z3/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Portsmouth, United Kingdom","374081749071",,"119.99","£119.99 each","newandusedlaptops4u",,"1 Year Warranty / VAT Invoice Included / 30 Day Returns","WINDOWS 11 Lenovo ThinkPad X250 Core i5 4GB 8GB Ram 128GB 240GB SSD Laptop","Notebook/Laptop",,"https://www.ebay.co.uk/itm/374081749071",,,,
,,"Microsoft","Tablets & eBook Readers","PC Laptops & Netbooks",,,"https://i.ebayimg.com/images/g/XU4AAOSw-hdih6GU/s-l500.jpg","https://i.ebayimg.com/images/g/XU4AAOSw-hdih6GU/s-l1000.jpg","https://i.ebayimg.com/images/g/g3EAAOSw5wthsjx3/s-l1000.jpg","https://i.ebayimg.com/images/g/jbQAAOSwaZBhr2xO/s-l1000.jpg","https://i.ebayimg.com/images/g/uO8AAOSwUDRhr2pP/s-l1000.jpg","https://i.ebayimg.com/images/g/rv4AAOSwK6Jhr2pR/s-l1000.jpg","https://i.ebayimg.com/images/g/v-YAAOSw4T1hr2pQ/s-l1000.jpg","https://i.ebayimg.com/images/g/1dMAAOSwl7phsM4K/s-l1000.jpg","https://i.ebayimg.com/images/g/45QAAOSwTPBhsM4N/s-l1000.jpg","https://i.ebayimg.com/images/g/vrIAAOSwCP5hsM4Q/s-l1000.jpg","https://i.ebayimg.com/images/g/MkwAAOSws~RhsjyF/s-l1000.jpg","https://i.ebayimg.com/images/g/nV4AAOSwRfJhsjyH/s-l1000.jpg","https://i.ebayimg.com/images/g/KMEAAOSw92lhr2r3/s-l1000.jpg","https://i.ebayimg.com/images/g/2GEAAOSwyrBiU~U2/s-l1000.jpg","https://i.ebayimg.com/images/g/9aIAAOSwe6RiU~U3/s-l1000.jpg","https://i.ebayimg.com/images/g/x0kAAOSwiWthsjyY/s-l1000.jpg","https://i.ebayimg.com/images/g/jRcAAOSwHfphsjyX/s-l1000.jpg","https://i.ebayimg.com/images/g/PpgAAOSwIwlhr2sG/s-l1000.jpg","https://i.ebayimg.com/images/g/77cAAOSwyXNhr2sH/s-l1000.jpg","https://i.ebayimg.com/images/g/7GkAAOSwi3Zhr2sI/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Portsmouth, United Kingdom","325240881221",,"189.99","£189.99","newandusedlaptops4u",,"1 Year Warranty / VAT Invoice Included / 30 Day Returns","Microsoft Surface Pro 5 Core i5 2.60GHz 8GB Ram 256GB SSD Windows 11 Tablet","Tablet/Laptop Convertible",,"https://www.ebay.co.uk/itm/325240881221",,,,
,,"MODEL WILL VARY DEPENDING ON STOCK","PC Laptops & Netbooks",,,,"https://i.ebayimg.com/images/g/E8wAAOSwyiJjSUIh/s-l500.jpg","https://i.ebayimg.com/images/g/E8wAAOSwyiJjSUIh/s-l1000.jpg","https://i.ebayimg.com/images/g/sXMAAOSwaKJh3pmP/s-l1000.jpg","https://i.ebayimg.com/images/g/th4AAOSw9ARhvLVz/s-l1000.jpg","https://i.ebayimg.com/images/g/W-oAAOSwJTthvLVx/s-l1000.jpg","https://i.ebayimg.com/images/g/Ke8AAOSwxEphvLV1/s-l1000.jpg","https://i.ebayimg.com/images/g/DmMAAOSwiClhvLVq/s-l1000.jpg","https://i.ebayimg.com/images/g/JxoAAOSw5IphvLVr/s-l1000.jpg","https://i.ebayimg.com/images/g/-PgAAOSwjV1hvLVt/s-l1000.jpg","https://i.ebayimg.com/images/g/~JQAAOSwKGRhvLVv/s-l1000.jpg","https://i.ebayimg.com/images/g/nlkAAOSwD-JjSUI1/s-l1000.jpg","https://i.ebayimg.com/images/g/rnoAAOSw93ZjSUIz/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Somerset, United Kingdom","175446512367",,"99.94","£99.94","ri-services",,"⭐1 YEAR WARRANTY!⭐","Laptop Windows 10 iseries Refurbished Laptops 4GB 8GB RAM SSD HDD Build Your Own","Notebook/Laptop",,"https://www.ebay.co.uk/itm/175446512367",,,,
,,"Geo","Laptops & Netbooks",,"5060704192338",,"https://i.ebayimg.com/images/g/4koAAOSwJeFj0AEk/s-l500.jpg","https://i.ebayimg.com/images/g/4koAAOSwJeFj0AEk/s-l1000.jpg","https://i.ebayimg.com/images/g/5z0AAOSw229j0AEl/s-l1000.jpg","https://i.ebayimg.com/images/g/GNwAAOSws41j0AEl/s-l1000.jpg","https://i.ebayimg.com/images/g/G6wAAOSwT~Fj0AEk/s-l1000.jpg","https://i.ebayimg.com/images/g/2OQAAOSwk5Jj0AEl/s-l1000.jpg","https://i.ebayimg.com/images/g/UyIAAOSwgLdj0AEl/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Derbyshire, United Kingdom","175585448240","GE211","69.99","£69.99","tabretail",,"","GeoBook 120 12.5"" Windows 10 Laptop Intel Celeron N3450 4GB RAM 64GB eMMC Black","Notebook/Laptop","Does Not Apply","https://www.ebay.co.uk/itm/175585448240",,,,
,,"Mix Brands","PC Laptops & Netbooks",,,,"https://i.ebayimg.com/images/g/b~gAAOSwLwVjnJTk/s-l500.png","https://i.ebayimg.com/images/g/b~gAAOSwLwVjnJTk/s-l1000.png","https://i.ebayimg.com/images/g/Fp0AAOSwqUZjnJTr/s-l1000.jpg","https://i.ebayimg.com/images/g/0FMAAOSwpt5jnJTt/s-l1000.jpg","https://i.ebayimg.com/images/g/ja4AAOSwtQFjnJTq/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Birmingham, United Kingdom","275583033349","core i5 4th gen laptop, dell laptop, hp laptop, lenovo laptop, fujitsu laptop","99.99","£99.99","hightech-gb",,"✔️1 YEAR WARRENTY ✔️CHEAPEST ON EBAY ✔️REFURBISHED","CHEAP FAST Top Brand Windows 10/11 Laptop i5 4th 8GB Ram 256GB SSD/ 1TB HDD WIFI","Notebook/Laptop",,"https://www.ebay.co.uk/itm/275583033349",,,,
,,"Different","PC Laptops & Netbooks",,,,"https://i.ebayimg.com/images/g/d28AAOSwo09jx-hI/s-l500.png","https://i.ebayimg.com/images/g/d28AAOSwo09jx-hI/s-l1000.png","https://i.ebayimg.com/images/g/zHsAAOSwpAtjx-i1/s-l1000.jpg","https://i.ebayimg.com/images/g/6NMAAOSw~ZNjx-i3/s-l1000.jpg","https://i.ebayimg.com/images/g/AZQAAOSw61Jjx-i6/s-l1000.jpg","https://i.ebayimg.com/images/g/x~wAAOSwaCdjx-i8/s-l1000.jpg","https://i.ebayimg.com/images/g/SWQAAOSwtY9jx-i-/s-l1000.jpg","https://i.ebayimg.com/images/g/XsMAAOSw8G5jx-jC/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Birmingham, United Kingdom","285115799961","dell laptop, hp laptop, lenovo laptop, fujitsu laptop, core i3 laptop, core i5 laptop","89.99","£89.99","hightech-gb",,"✔️1 YEAR WARRANTY ✔️CHEAPEST ON EBAY ✔️REFURBISHED","CHEAP FAST Top Brand Windows 10/11 Laptop i3/i5 16GB Ram 256GB SSD/ 1TB HDD WIFI","Notebook/Laptop",,"https://www.ebay.co.uk/itm/285115799961",,,,
,,"Acer","Laptops & Netbooks",,,,"https://i.ebayimg.com/images/g/9ZcAAOSw-EBj35Nj/s-l500.jpg","https://i.ebayimg.com/images/g/9ZcAAOSw-EBj35Nj/s-l1000.jpg","https://i.ebayimg.com/images/g/FSkAAOSwimJj35Nk/s-l1000.jpg","https://i.ebayimg.com/images/g/Dp4AAOSwezJj35Nk/s-l1000.jpg","https://i.ebayimg.com/images/g/S4gAAOSw0FNj35Nk/s-l1000.jpg","https://i.ebayimg.com/images/g/WXMAAOSw-Rxj35Nk/s-l1000.jpg","https://i.ebayimg.com/images/g/3tYAAOSwk99j35Nk/s-l1000.jpg","https://i.ebayimg.com/images/g/q3QAAOSwzIxj35Nk/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bradford, United Kingdom","155394185614","14CB3431","64.99","£64.99","inteliqo",,"","FAST ACER CHROMEBOOK 14 LAPTOP CHROME OS CELERON N 32GB SSD SLIM 14"" HD LAPTOP","Notebook/Laptop",,"https://www.ebay.co.uk/itm/155394185614",,,,
,,"Dell","PC Laptops & Netbooks",,,,"https://i.ebayimg.com/images/g/jk4AAOSw9jtjycP3/s-l500.png","https://i.ebayimg.com/images/g/jk4AAOSw9jtjycP3/s-l1000.png","https://i.ebayimg.com/images/g/agYAAOSwRSNjycPz/s-l1000.png","https://i.ebayimg.com/images/g/~eAAAOSwejtjycPv/s-l1000.png","https://i.ebayimg.com/images/g/yZ0AAOSwiThjycPs/s-l1000.jpg","https://i.ebayimg.com/images/g/DVMAAOSw7fVjycPt/s-l1000.jpg","https://i.ebayimg.com/images/g/m0oAAOSw-qFjycPt/s-l1000.jpg","https://i.ebayimg.com/images/g/gYYAAOSwREZjycPv/s-l1000.jpg","https://i.ebayimg.com/images/g/KDAAAOSwXw1jycPw/s-l1000.jpg","https://i.ebayimg.com/images/g/B8gAAOSwqIBjycPx/s-l1000.jpg","https://i.ebayimg.com/images/g/R2QAAOSwwAJjycPy/s-l1000.jpg","https://i.ebayimg.com/images/g/a5EAAOSwV0BjycPr/s-l1000.jpg","https://i.ebayimg.com/images/g/A7oAAOSw38hjiQa4/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stoke-on-Trent, Staffordshire, United Kingdom","155368344867","Refurbished Laptop, School Computer, Notebook, PC, 10/100 LAN","349","£349.00","noble_cruncher_shop",,"Office 2019*, Next day delivery, InfinityEdge Display","Dell XPS 13 9370 i7-8650 Quad 13.3"" Touchscreen 512GB Nvme SSD 16GB RAM Win11","Notebook/Laptop",,"https://www.ebay.co.uk/itm/155368344867",,,,
,,"Lenovo","PC Laptops & Netbooks",,,,"https://i.ebayimg.com/images/g/EmwAAOSwFcVj2kgi/s-l500.png","https://i.ebayimg.com/images/g/EmwAAOSwFcVj2kgi/s-l1000.png","https://i.ebayimg.com/images/g/uIcAAOSwBuFj2kgj/s-l1000.jpg","https://i.ebayimg.com/images/g/1YsAAOSwplNj2kgk/s-l1000.jpg","https://i.ebayimg.com/images/g/GDQAAOSw~ZNj2kgm/s-l1000.jpg","https://i.ebayimg.com/images/g/gCMAAOSwIPVj2kgn/s-l1000.jpg","https://i.ebayimg.com/images/g/qaEAAOSwMZBj2kgo/s-l1000.jpg","https://i.ebayimg.com/images/g/TRsAAOSwnHNj2kgp/s-l1000.jpg","https://i.ebayimg.com/images/g/3zYAAOSwcX9j2kgq/s-l1000.jpg","https://i.ebayimg.com/images/g/3dQAAOSwTGtj2kgr/s-l1000.jpg","https://i.ebayimg.com/images/g/XiYAAOSwnHRj2kgs/s-l1000.jpg","https://i.ebayimg.com/images/g/ICoAAOSwMSlj2kgt/s-l1000.jpg","https://i.ebayimg.com/images/g/A7oAAOSw38hjiQa4/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stoke-on-Trent, Staffordshire, United Kingdom","155286029582","Refurbished Laptop, School Computer, Notebook, PC, 10/100 LAN","169","£169.00","noble_cruncher_shop",,"","Lenovo 2 in 1 Convertible 12.5"" FHD Touchscreen Intel i7 8GB RAM 256GB SSD Win11","Notebook/Laptop",,"https://www.ebay.co.uk/itm/155286029582",,,,
,,"Dell","PC Laptops & Netbooks",,"Does not apply",,"https://i.ebayimg.com/images/g/0fIAAOSwMopi4RZB/s-l500.jpg","https://i.ebayimg.com/images/g/0fIAAOSwMopi4RZB/s-l1000.jpg","https://i.ebayimg.com/images/g/mGEAAOSwCpxi4RZB/s-l1000.jpg","https://i.ebayimg.com/images/g/HdcAAOSwKLVi4RZB/s-l1000.jpg","https://i.ebayimg.com/images/g/UdIAAOSwARRjSCfY/s-l1000.jpg","https://i.ebayimg.com/images/g/QkAAAOSwFWZjSCfY/s-l1000.jpg","https://i.ebayimg.com/images/g/L6kAAOSwKn1jSCfY/s-l1000.jpg","https://i.ebayimg.com/images/g/LWEAAOSwb0pjSCfY/s-l1000.jpg","https://i.ebayimg.com/images/g/jjQAAOSwIfRjSCfY/s-l1000.jpg","https://i.ebayimg.com/images/g/TiwAAOSwgcBjSCfZ/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, Lancashire, United Kingdom","255774519471",,"164.95","£164.95","venoscorp",,"256GB SSD ✅ Webcam ✅Plug & Play  ✅ Win 11","Dell Latitude 5470 Core i5-6200U 8GB Ram 256GB SSD Windows 11 Laptop 14""","Notebook/Laptop",,"https://www.ebay.co.uk/itm/255774519471",,,,
,,"ACER, FUJITSU, RM, STONE, LENOVO, HP","PC Laptops & Netbooks",,,,"https://i.ebayimg.com/images/g/1jsAAOSwh8djyo~Z/s-l500.jpg","https://i.ebayimg.com/images/g/1jsAAOSwh8djyo~Z/s-l1000.jpg","https://i.ebayimg.com/images/g/DxEAAOSw~ZNjyo~H/s-l1000.jpg","https://i.ebayimg.com/images/g/5~QAAOSwXUJjyo~I/s-l1000.jpg","https://i.ebayimg.com/images/g/rO0AAOSwnHRjyo~K/s-l1000.jpg","https://i.ebayimg.com/images/g/V6IAAOSwWD9jyo~K/s-l1000.jpg","https://i.ebayimg.com/images/g/tCEAAOSwKBNjyo~L/s-l1000.jpg","https://i.ebayimg.com/images/g/FdkAAOSwjOljyo~N/s-l1000.jpg","https://i.ebayimg.com/images/g/tRgAAOSwa0ljyo~O/s-l1000.jpg","https://i.ebayimg.com/images/g/16AAAOSwGvFjyo~P/s-l1000.jpg","https://i.ebayimg.com/images/g/NykAAOSwtj1jyo~X/s-l1000.jpg","https://i.ebayimg.com/images/g/OrAAAOSwYEhjyo~Y/s-l1000.jpg","https://i.ebayimg.com/images/g/TlYAAOSwbe5jyo~a/s-l1000.jpg","https://i.ebayimg.com/images/g/GPQAAOSw~ZNjypTW/s-l1000.jpg","https://i.ebayimg.com/images/g/gD0AAOSwszhjypUU/s-l1000.jpg","https://i.ebayimg.com/images/g/qzwAAOSwjeVjypAR/s-l1000.jpg","https://i.ebayimg.com/images/g/6YUAAOSwwL1jyo~9/s-l1000.jpg","https://i.ebayimg.com/images/g/q9sAAOSw7yBjypBE/s-l1000.jpg","https://i.ebayimg.com/images/g/4JQAAOSwI85jypTb/s-l1000.jpg","https://i.ebayimg.com/images/g/gdMAAOSwJv5jypAl/s-l1000.jpg","https://i.ebayimg.com/images/g/qZ8AAOSw7kFjypB3/s-l1000.jpg","https://i.ebayimg.com/images/g/fKIAAOSwaCdjypUZ/s-l1000.jpg","https://i.ebayimg.com/images/g/DlkAAOSwhndjypC6/s-l1000.jpg","https://i.ebayimg.com/images/g/GiIAAOSwk4NjypDm/s-l1000.jpg","https://i.ebayimg.com/images/g/jQcAAOSwgNNjypGd/s-l1000.jpg","https://i.ebayimg.com/images/g/I2UAAOSwJYhjypTf/s-l1000.jpg","https://i.ebayimg.com/images/g/RjMAAOSwk8BjypGo/s-l1000.jpg","https://i.ebayimg.com/images/g/PlQAAOSwictjypHC/s-l1000.jpg","https://i.ebayimg.com/images/g/hm8AAOSwfkFjypUd/s-l1000.jpg","https://i.ebayimg.com/images/g/kcEAAOSwc0ljypFO/s-l1000.jpg","https://i.ebayimg.com/images/g/mcIAAOSwHWFjypHQ/s-l1000.jpg","https://i.ebayimg.com/images/g/2IQAAOSwn-xjypHa/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"stourbridge, United Kingdom","325506227452",,"59.99","£59.99","compuclear",,"12 month Warranty","Mixed Brand  15.6"" Laptop Options  up to i5 7th Gen 16GB 512GB Win 10. Excellent","Notebook/Laptop",,"https://www.ebay.co.uk/itm/325506227452",,,,
,,"Dell","PC Laptops & Netbooks",,"Does not apply",,"https://i.ebayimg.com/images/g/lOEAAOSwgBhjwDwL/s-l500.jpg","https://i.ebayimg.com/images/g/lOEAAOSwgBhjwDwL/s-l1000.jpg","https://i.ebayimg.com/images/g/r-UAAOSwBh1jwDwL/s-l1000.jpg","https://i.ebayimg.com/images/g/t~QAAOSwWrpjwDwL/s-l1000.jpg","https://i.ebayimg.com/images/g/3t0AAOSwT3Ri0CN-/s-l1000.jpg","https://i.ebayimg.com/images/g/YrkAAOSwRopi0CN~/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, Lancashire, United Kingdom","255924355351",,"199.95","£199.95","venoscorp",,"256 SSD ✅ Webcam  ✅ Win 10 ✅ WARRANTY ✅","Dell Latitude 7250 Core i5-5300U 16GB Ram 256GB SSD Windows 10 Laptop","Notebook/Laptop",,"https://www.ebay.co.uk/itm/255924355351",,,,
,,"Dell","PC Laptops & Netbooks",,"Does not apply",,"https://i.ebayimg.com/images/g/mGAAAOSwcuJiusWl/s-l500.jpg","https://i.ebayimg.com/images/g/mGAAAOSwcuJiusWl/s-l1000.jpg","https://i.ebayimg.com/images/g/ROsAAOSwOE5iusWl/s-l1000.jpg","https://i.ebayimg.com/images/g/YIwAAOSwzIxiusWl/s-l1000.jpg","https://i.ebayimg.com/images/g/PFUAAOSwBldiusWl/s-l1000.jpg","https://i.ebayimg.com/images/g/dWYAAOSwCGZiusWl/s-l1000.jpg","https://i.ebayimg.com/images/g/41sAAOSwBw9iusWl/s-l1000.jpg","https://i.ebayimg.com/images/g/xAAAAOSwb69iusWl/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, Lancashire, United Kingdom","255662976039",,"264.99","£264.99","venoscorp",,"512 GB SSD ✅ Webcam   ✅ Win 11","Dell Latitude 7280 Core i7-6600U 16GB Ram 512GB  Windows 11 Laptop","Notebook/Laptop",,"https://www.ebay.co.uk/itm/255662976039",,,,
,,"Dell","PC Laptops & Netbooks",,,,"https://i.ebayimg.com/images/g/mJMAAOSwm-9i2qgX/s-l500.jpg","https://i.ebayimg.com/images/g/mJMAAOSwm-9i2qgX/s-l1000.jpg","https://i.ebayimg.com/images/g/DWkAAOSw9Y1i2qfc/s-l1000.jpg","https://i.ebayimg.com/images/g/OHUAAOSwOcli2qfc/s-l1000.jpg","https://i.ebayimg.com/images/g/CCMAAOSwtx9i2qfd/s-l1000.jpg","https://i.ebayimg.com/images/g/F7UAAOSwyGNi2qhH/s-l1000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"stourbridge, United Kingdom","225407714227",,"89.99","£89.99","compuclear",,"1 Year Warranty / VAT Invoice Included","Cheap Dell Latitude 15.6"" Laptop Up to i7 8th Gen 16Gb 512GB SSD  Win 10 11","Notebook/Laptop",,"https://www.ebay.co.uk/itm/225407714227",,,,
